#,协议方法,方法,参数,URL,请求体,响应处理,说明
1,async,unknown,"funcName, ...",,,raw_callback,"通用异步调用入口, 按 funcName 分派"
2,getTime,get,"func, isNeedWait, retryType, waitText",get_time,,createGetResponseFunction,
3,createRole,post,"func, isNeedWait, retryType",create_role,"""""",createGetResponseFunction,
4,getStoreData,get,"func, isNeedWait, retryType",get_store_list_4,"""""",createGetResponseFunction,
5,getAppStoreData,get,"func, isNeedWait, retryType",get_applestore_list,"""""",createGetResponseFunction,
6,getCheatType,unknown,,,,raw_callback,获取防作弊类型(本地)
7,uploadUserData,post,"uType, func, isNeedWait, retryType, isNeedSave",upload_user_file_3,,createGetResponseFunction,
8,uploadUserDataWithoutSave,unknown,"uType, func, isNeedWait, retryType",,,raw_callback,
9,uploadLocalUserData,post,"uType, func, isNeedWait, retryType",upload_user_file_5,,createGetResponseFunction,
10,downloadUserData,get,"func, isNeedWait, retryType",download_user_file_2,"""""",createGetResponseFunction,
11,getReward,get,"type, func, isNeedWait, retryType",get_reward/,,createGetResponseFunction,
12,getReward2,post,"rType, trans_id, homeland_open, func, isNeedWait, retryType",get_reward_2/,,createGetResponseFunction,
13,updataUserName,post,"name, func, isNeedWait, retryType",update_username,{name = name},createGetResponseFunction,
14,buyGoods,post,"id, itemId, count, trans_id, others, discount, func, isNeedWait, retryType",buy_goods_3/ | buy_goods,,createGetResponseFunction,
15,getGoodsInfo,get,"itemId, func, isNeedWait, retryType",get_goods/,,createGetResponseFunction,
16,getGoodsInfo_2,post,"itemId, others, func, isNeedWait, retryType",get_goods_2/ | check_fail_transaction/,,createGetResponseFunction,
17,checkTrans,post,"transType, trans_id, func, isNeedWait, retryType",check_fail_transaction_2/,,createGetResponseFunction,
18,getYuanBao,get,"func, isNeedWait, retryType",get_yuanbao,"""""",createGetResponseFunction,
19,getRankingList,post,"page, func, isNeedWait, retryType",get_rank_list_4,{page = page},createGetResponseFunction,
20,getBoard,post,"ptype, page, func, isNeedWait, retryType",get_board/,,createGetResponseFunction,
21,getRemoveYuanBao,get,"num, trans_id, func, isNeedWait, retryType",remove_yuanbao/,,createGetResponseFunction,
22,checkLogin,post,"postData, func, isNeedWait, retryType",login,postData,createGetResponseFunction,
23,getRandomWeaponDesc,get,"wType, func, isNeedWait, retryType",get_random_weapon_desc/,,createGetResponseFunction,
24,makeWeapon,post,"params, func, isNeedWait, retryType",make_weapon,params,createGetResponseFunction,
25,upgradeWeapon,post,"params, func, isNeedWait, retryType",upgrade_weapon,params,createGetResponseFunction,
26,getThrowWeaponData,get,"func, isNeedWait, retryType",get_history_weapon,"""""",createGetResponseFunction,
27,throwShenBingWeapon,post,"throwType, index, params, func, isNeedWait, retryType",throw_weapon/,,createGetResponseFunction,
28,getIsChangedName,get,"func, isNeedWait, retryType",is_changed_name,"""""",createGetResponseFunction,
29,getArchiveList,get,"func, isNeedWait, retryType",,"""""",createGetResponseFunction,
30,switchArchive,get,"switchTo, callback, isNeedWait, retryType",,,createGetResponseFunction,
31,useShopGoods,get,"itemId, func, isNeedWait, retryType",use_shop_goods/,,createGetResponseFunction,
32,testYueKa,get,"func, isNeedWait, retryType",test_yueka,"""""",createGetResponseFunction,
33,getJhmsDesc,get,"func, isNeedWait, retryType",get_jhms_desc,"""""",createGetResponseFunction,
34,getJhmsReward,post,"trans_id, homeland_open, days, func, isNeedWait, retryType",get_jhms_reward,{trans_id = trans_id,createGetResponseFunction,
35,checkGoodsValid,post,"itemIds, func, isNeedWait, retryType",check_goods_valid,{itemIds = itemIds},createGetResponseFunction,
36,uploadCheat,post,"cheat, func, isNeedWait, retryType",report_cheat,cheat,createGetResponseFunction,
37,getUserInfo,post,"userID, userType, func, isNeedWait, retryType",get_user_info,{userid = userID,createGetResponseFunction,
38,getBiWuRankingList,get,"typeNUm, func, isNeedWait, retryType",get_fight_board/,,createGetResponseFunction,
39,sendBiWuWatch,post,"func, isNeedWait, retryType",watch_fight,nil,createGetResponseFunction,
40,sendBiWuUnWatch,post,"params, func, isNeedWait, retryType",unwatch_fight,params,createGetResponseFunction,
41,getBiWuFighMessage,post,"func, isNeedWait, retryType",get_fight_msg2 | join_fight,""""" | role_lv",createGetResponseFunction,
42,sendBiWuJoinFight,post,"func, isNeedWait, retryType",join_fight2,"""""",createGetResponseFunction,
